ID: 406 | Code: AUTO_MM0RY5N9_OQTC | Name: 자기자본사업비 | Level: 2 | Desc: 기관이 보유한 자체 재원을 활용하여 창의적·독자적으로 수행하는 사업의 직접 운영 비용
ID: 407 | Code: AUTO_MM0SEZ4Z_1MKN | Name: 단지운영비 | Level: 2 | Desc: 관리 대상 입주 단지 및 부대 시설물의 안전하고 쾌적한 환경 유지를 위한 유지보수 및 운영 경비
ID: 408 | Code: AUTO_MM0SHFIV_R161 | Name: 예비비 | Level: 3 | Desc: 예산 편성 시점에 예측할 수 없었던 불가피한 지출 수요에 신속히 대응하기 위해 마련된 예비 재원
ID: 409 | Code: AUTO_MM0SHIXK_68XW | Name: 예비비 | Level: 4 | Desc: 예산 편성 시점에 예측할 수 없었던 불가피한 지출 수요에 신속히 대응하기 위해 마련된 예비 재원
ID: 410 | Code: AUTO_MM0SII38_N5P0 | Name: 사업비(당해연도) | Level: 2 | Desc: 해당 회계연도 예산 편성 지침 및 지자체 승인에 따라 확정된 당해 연도 집행 사업비
ID: 412 | Code: AUTO_MM0SII38_N5P0_1 | Name: 사업비(이월금) | Level: 2 | Desc: 전년도 예산 중 집행 사유 미발생 또는 시기 미도래로 법정 절차를 거쳐 이월된 사업 예산
ID: 294 | Code: EXP_01 | Name: 재단운영비 | Level: 1 | Desc: 기관의 일반적인 관리 및 운영을 위해 소요되는 공통 경비
ID: 306 | Code: EXP_01_00 | Name: 재단운영비지출 | Level: 2 | Desc: 기관 경영의 투명성과 효율성 제고를 위한 일상적인 행정 관리 및 운영 사무 비용
ID: 312 | Code: EXP_01_01 | Name: 인건비 | Level: 3 | Desc: 임직원의 기본급, 제수당, 퇴직급여 및 법정 부담금(4대보험) 등 인적 자원 유지에 소요되는 총체적 비용
ID: 322 | Code: EXP_01_01_01 | Name: 기본급 | Level: 4 | Desc: 1. 기본연봉
ID: 334 | Code: EXP_01_01_02 | Name: 제수당 | Level: 4 | Desc: 1. 직책수당 2. 가족수당 3. 시간외수당 4. 맞춤형복지 5. 연월차 수당 6. 명절수당(설, 추석) 7. 식대보조수당
ID: 341 | Code: EXP_01_01_03 | Name: 연금부담금 | Level: 4 | Desc: 1. 4대보험 법인부담금(국민, 건강, 고용, 산재)
ID: 346 | Code: EXP_01_01_04 | Name: 퇴직급여 | Level: 4 | Desc: 1. 퇴직급여 지급액 2. 퇴직급여 충당금
ID: 350 | Code: EXP_01_01_05 | Name: 성과급 | Level: 4 | Desc: 1. 성과급
ID: 315 | Code: EXP_01_02 | Name: 일반운영비 | Level: 3 | Desc: 사무관리비, 공공요금, 임차료, 여비 및 소모품비 등 기관 운영의 연속성 확보를 위한 필수적 경비
ID: 323 | Code: EXP_01_02_01 | Name: 임차료 | Level: 4 | Desc: 1. 복사기 임차료 2. 임대차 계약에 의한 토지, 건물, 시설, 장비, 물품 등 임차료 3. 버스, 승용차 등 차량 임차료
ID: 335 | Code: EXP_01_02_02 | Name: 여비교통비 | Level: 4 | Desc: 1. 국내외 출장 여비 2. 고속도로 통행료
ID: 342 | Code: EXP_01_02_03 | Name: 도서인쇄비 | Level: 4 | Desc: 1. 업무수행에 따른 일체의 인쇄물(복사,인쇄) 및 유인물의 제작비 2. 신문 구독료 3. 도서 및 간행물 구입비
ID: 347 | Code: EXP_01_02_04 | Name: 통신비 | Level: 4 | Desc: 1. 전화요금, 회선 사용료 2. 우편물 발송요금
ID: 351 | Code: EXP_01_02_05 | Name: 세금과공과(목적) | Level: 4 | Desc: 1. 임원등기 등록세 2. 주민세 3. 면허세 4. 종업원 분 주민세
ID: 354 | Code: EXP_01_02_06 | Name: 보험료(목적) | Level: 4 | Desc: 1. 신원보증보험료 2. 법인차량 운전자 보험료 3. 환경책임 보험료 4. 직원 단체보험 5. 연구종사자 보험
ID: 357 | Code: EXP_01_02_07 | Name: 복리후생비 | Level: 4 | Desc: 1. 파견수당 2. 건강검진비 3. 직원 기념일 축하 4. 사내동호회 지원 5. 문화행사관람권
ID: 360 | Code: EXP_01_02_08 | Name: 소모품비 | Level: 4 | Desc: 1. 부서 내 일반사무비와 기타용품비 2. 재물조사대상이 아닌 물품으로 자산취득비에 계상하기는 부적합하다고 인정되는 소모성 물품구입비
ID: 363 | Code: EXP_01_02_09 | Name: 회의행사비 | Level: 4 | Desc: 1. 위원회 등 운영수당(이사회 및 운영위원회 회의수당) 2. 행사 운영 일반운영비(초청장, 홍보유인물, 현수막 등)·시설/장비/물품 임차료·강사료 등 3. 기관 행사 중 전문성 요구 시 용역 가능
ID: 366 | Code: EXP_01_02_10 | Name: 차량유지비 | Level: 4 | Desc: 1. 법인 차량 리스료 2. 법인 차량 관리비(유류대 외)
ID: 369 | Code: EXP_01_02_11 | Name: 교육훈련비 | Level: 4 | Desc: 1. 교육훈련 관련 경비(교육비, 위탁비, 외래강사수당 등) 2. 법인 규정에 따른 대학원 등 교육과정 비용
ID: 372 | Code: EXP_01_02_12 | Name: 지급수수료 | Level: 4 | Desc: 1. 업무대행/자문 수수료(세무·노무·법률 등), 회계감사 수수료 2. 범용 소프트웨어 구입 3. 협회비 등 법령/협약 부담금 4. 특허·상표 출원/유지 5. 시스템 사용료(회계, 채용, 평정 등)
ID: 375 | Code: EXP_01_02_13 | Name: 장비유지관리비 | Level: 4 | Desc: 1. 장비 유지보수 2. 장비 운용 소모품 3. 폐기물 처리(의료폐기물, 유독물, 산업폐수 등) 4. 방사선 동위원소 관리
ID: 378 | Code: EXP_01_02_14 | Name: 급식비 | Level: 4 | Desc: 1. 야근 등 시간외 근무 시 사용하는 경비
ID: 381 | Code: EXP_01_02_15 | Name: 기관운영업무추진비 | Level: 4 | Desc: 1. 유관기관 대외활동, 경조사비 등에 사용하는 경비
ID: 383 | Code: EXP_01_02_16 | Name: 부서운영업무추진비 | Level: 4 | Desc: 1. 부서운영 공통경비
ID: 385 | Code: EXP_01_02_17 | Name: 사업추진업무추진비 | Level: 4 | Desc: 1. 사업추진 공통경비
ID: 387 | Code: EXP_01_02_18 | Name: 기타잡비 | Level: 4 | Desc: 1. 예비비 성 경비
ID: 317 | Code: EXP_01_03 | Name: 자산취득비(목적) | Level: 3 | Desc: 
ID: 324 | Code: EXP_01_03_01 | Name: 비품 | Level: 4 | Desc: 1. 내용연수가 1년 이상되는 목적사업에 소요되는 비품 구입비
ID: 296 | Code: EXP_02 | Name: 목적사업비 | Level: 1 | Desc: 기관의 고유 목적사업 수행 및 지원을 위해 직접적으로 소요되는 경비
ID: 307 | Code: EXP_02_01 | Name: 인건비 | Level: 3 | Desc: 임직원의 기본급, 제수당, 퇴직급여 및 법정 부담금(4대보험) 등 인적 자원 유지에 소요되는 총체적 비용
ID: 325 | Code: EXP_02_01_01 | Name: 인건비 | Level: 4 | Desc: 1. 인건비 예산(기본급, 제수당, 연금부담금, 퇴직충당금)
ID: 416 | Code: EXP_02_01_01_1 | Name: 인건비 | Level: 4 | Desc: 임직원의 기본급, 제수당, 퇴직급여 및 법정 부담금(4대보험) 등 인적 자원 유지에 소요되는 총체적 비용
ID: 413 | Code: EXP_02_01_1 | Name: 인건비 | Level: 3 | Desc: 임직원의 기본급, 제수당, 퇴직급여 및 법정 부담금(4대보험) 등 인적 자원 유지에 소요되는 총체적 비용
ID: 313 | Code: EXP_02_02 | Name: 직접사업비 | Level: 3 | Desc: 사업 계획에 명시된 목표 달성을 위해 현장에서 직접적으로 소비되는 재료비, 인건비 및 용역비
ID: 326 | Code: EXP_02_02_01 | Name: 임차료 | Level: 4 | Desc: 1. 복사기 임차료 2. 임대차 계약에 의한 토지, 건물, 시설, 장비, 물품 등 임차료 3. 버스, 승용차 등 차량 임차료
ID: 417 | Code: EXP_02_02_01_1 | Name: 임차료 | Level: 4 | Desc: 
ID: 336 | Code: EXP_02_02_02 | Name: 여비교통비 | Level: 4 | Desc: 1. 국내외 출장 여비 2. 고속도로 통행료
ID: 418 | Code: EXP_02_02_02_1 | Name: 여비교통비 | Level: 4 | Desc: 
ID: 343 | Code: EXP_02_02_03 | Name: 도서인쇄비 | Level: 4 | Desc: 1. 업무수행 인쇄물/유인물 제작비 2. 신문 구독료 3. 도서/간행물 구입비
ID: 419 | Code: EXP_02_02_03_1 | Name: 도서인쇄비 | Level: 4 | Desc: 
ID: 348 | Code: EXP_02_02_04 | Name: 광고선전비 | Level: 4 | Desc: 1. TV/신문/잡지 공고료(매체 이용료) 2. 불특정 다수 대상 선전 효과 목적 지출
ID: 420 | Code: EXP_02_02_04_1 | Name: 광고선전비 | Level: 4 | Desc: 
ID: 352 | Code: EXP_02_02_05 | Name: 소모품비 | Level: 4 | Desc: 1. 부서 일반사무비 및 기타용품비 2. 자산취득비 계상 부적합 소모성 물품 구입
ID: 421 | Code: EXP_02_02_05_1 | Name: 소모품비 | Level: 4 | Desc: 
ID: 355 | Code: EXP_02_02_06 | Name: 재료구입비 | Level: 4 | Desc: 1. 시약 및 재료 구입비
ID: 422 | Code: EXP_02_02_06_1 | Name: 재료구입비 | Level: 4 | Desc: 
ID: 358 | Code: EXP_02_02_07 | Name: 시제품제작비 | Level: 4 | Desc: 1. 시제품 및 시제품 제작 경비
ID: 423 | Code: EXP_02_02_07_1 | Name: 시제품제작비 | Level: 4 | Desc: 
ID: 361 | Code: EXP_02_02_08 | Name: 회의행사비 | Level: 4 | Desc: 1. 행사 운영 일반운영비(초청장, 홍보유인물, 현수막 등)·시설/장비/물품 임차료·강사료 등 2. 전문성 요구 시 용역 가능 3. 임시·일회성 시설물 구축 4. 평가/불특정다수 회의 시 다과·음식물
ID: 424 | Code: EXP_02_02_08_1 | Name: 회의행사비 | Level: 4 | Desc: 
ID: 364 | Code: EXP_02_02_09 | Name: 사업추진비 | Level: 4 | Desc: 1. 사업목적 회의 다과/음식물 제공(내부직원 회의 집행불가, 청탁금지법 한도의 1/2 내) 2. 사업관련 공식 회의·행사 비용
ID: 425 | Code: EXP_02_02_09_1 | Name: 사업추진비 | Level: 4 | Desc: 
ID: 414 | Code: EXP_02_02_1 | Name: 직접사업비 | Level: 3 | Desc: 사업 계획에 명시된 목표 달성을 위해 현장에서 직접적으로 소비되는 재료비, 인건비 및 용역비
ID: 367 | Code: EXP_02_02_10 | Name: 교육훈련비 | Level: 4 | Desc: 1. 교육훈련경비
ID: 426 | Code: EXP_02_02_10_1 | Name: 교육훈련비 | Level: 4 | Desc: 
ID: 370 | Code: EXP_02_02_11 | Name: 지급수수료 | Level: 4 | Desc: 1. 회계감사수수료 2. 공공요금
ID: 427 | Code: EXP_02_02_11_1 | Name: 지급수수료 | Level: 4 | Desc: 
ID: 373 | Code: EXP_02_02_12 | Name: 전문가 활용비 | Level: 4 | Desc: 1. 전문가 활용비(자문, 평가수당 등)
